TSLA,SELL,109.33,50,1725559123010000
AAPL,BUY,145.67,30,1725559123010001
GOOGL,SELL,2789.12,20,1725559123010002
AMZN,BUY,3456.78,15,1725559123010003
MSFT,SELL,299.99,40,1725559123010004
NFLX,BUY,645.23,25,1725559123010005
META,SELL,312.45,35,1725559123010006
NVDA,BUY,220.89,50,1725559123010007
AMD,SELL,105.34,45,1725559123010008
INTC,BUY,54.67,60,1725559123010009
ORCL,SELL,89.12,55,1725559123010010
DIS,BUY,175.45,20,1725559123010011
PYPL,SELL,202.34,25,1725559123010012
UBER,BUY,45.67,30,1725559123010013
LYFT,SELL,32.89,35,1725559123010014
SQ,BUY,250.12,40,1725559123010015
SHOP,SELL,1450.67,15,1725559123010016
TWTR,BUY,65.34,50,1725559123010017
SNAP,SELL,72.89,45,1725559123010018
SPOT,BUY,310.12,30,1725559123010019
ZM,SELL,280.45,20,1725559123010020
DOCU,BUY,210.67,25,1725559123010021
ROKU,SELL,345.89,35,1725559123010022
ETSY,BUY,220.12,40,1725559123010023
PINS,SELL,75.45,50,1725559123010024
ADBE,BUY,650.67,15,1725559123010025
CRM,SELL,310.89,20,1725559123010026
V,BUY,230.12,25,1725559123010027
MA,SELL,350.45,30,1725559123010028
BAC,BUY,45.67,35,1725559123010029
JPM,SELL,160.89,40,1725559123010030
GS,BUY,345.12,50,1725559123010031
C,SELL,70.45,15,1725559123010032
WFC,BUY,55.67,20,1725559123010033
MS,SELL,95.89,25,1725559123010034
BLK,BUY,750.12,30,1725559123010035
T,SELL,28.45,35,1725559123010036
VZ,BUY,55.67,40,1725559123010037
TMUS,SELL,145.89,50,1725559123010038
CMCSA,BUY,60.12,15,1725559123010039
NFLX,SELL,645.23,25,1725559123010040
META,BUY,312.45,35,1725559123010041
NVDA,SELL,220.89,50,1725559123010042
AMD,BUY,105.34,45,1725559123010043
INTC,SELL,54.67,60,1725559123010044
ORCL,BUY,89.12,55,1725559123010045
DIS,SELL,175.45,20,1725559123010046
PYPL,BUY,202.34,25,1725559123010047
UBER,SELL,45.67,30,1725559123010048
LYFT,BUY,32.89,35,1725559123010049
SQ,SELL,250.12,40,1725559123010050
SHOP,BUY,1450.67,15,1725559123010051
TWTR,SELL,65.34,50,1725559123010052
SNAP,BUY,72.89,45,1725559123010053
SPOT,SELL,310.12,30,1725559123010054
ZM,BUY,280.45,20,1725559123010055
DOCU,SELL,210.67,25,1725559123010056
ROKU,BUY,345.89,35,1725559123010057
ETSY,SELL,220.12,40,1725559123010058
PINS,BUY,75.45,50,1725559123010059
ADBE,SELL,650.67,15,1725559123010060
CRM,BUY,310.89,20,1725559123010061
V,SELL,230.12,25,1725559123010062
MA,BUY,350.45,30,1725559123010063
BAC,SELL,45.67,35,1725559123010064
JPM,BUY,160.89,40,1725559123010065
GS,SELL,345.12,50,1725559123010066
C,BUY,70.45,15,1725559123010067
WFC,SELL,55.67,20,1725559123010068
MS,BUY,95.89,25,1725559123010069
BLK,SELL,750.12,30,1725559123010070
T,BUY,28.45,35,1725559123010071
VZ,SELL,55.67,40,1725559123010072
TMUS,BUY,145.89,50,1725559123010073
CMCSA,SELL,60.12,15,1725559123010074
NFLX,BUY,645.23,25,1725559123010075
META,SELL,312.45,35,1725559123010076
NVDA,BUY,220.89,50,1725559123010077
AMD,SELL,105.34,45,1725559123010078
INTC,BUY,54.67,60,1725559123010079
ORCL,SELL,89.12,55,1725559123010080
DIS,BUY,175.45,20,1725559123010081
PYPL,SELL,202.34,25,1725559123010082
UBER,BUY,45.67,30,1725559123010083
LYFT,SELL,32.89,35,1725559123010084
SQ,BUY,250.12,40,1725559123010085
SHOP,SELL,1450.67,15,1725559123010086
TWTR,BUY,65.34,50,1725559123010087
SNAP,SELL,72.89,45,1725559123010088
SPOT,BUY,310.12,30,1725559123010089
ZM,SELL,280.45,20,1725559123010090
DOCU,BUY,210.67,25,1725559123010091
ROKU,SELL,345.89,35,1725559123010092
ETSY,BUY,220.12,40,1725559123010093
PINS,SELL,75.45,50,1725559123010094
ADBE,BUY,650.67,15,1725559123010095
CRM,SELL,310.89,20,1725559123010096
V,BUY,230.12,25,1725559123010097
MA,SELL,350.45,30,1725559123010098
BAC,BUY,45.67,35,1725559123010099
JPM,SELL,160.89,40,1725559123010100
